created_at,index,id_str,text,entities,favorite_count,retweet_count,followers_count,friends_count,datetime
2016-12-04 16:37:51,0,805451058923393024,"Liebe Freunde!

Ich danke Euch sehr herzlich für die großartige Unterstützung. Ich bin unendlich traurig, dass es... https://t.co/ebbyQUPDvG","{'user_mentions': [], 'urls': [{'indices': [117, 140], 'display_url': 'fb.me/5snu8qGKL', 'expanded_url': 'http://fb.me/5snu8qGKL', 'url': 'https://t.co/ebbyQUPDvG'}], 'symbols': [], 'hashtags': []}",291,122,11636,304,2016-12-04 16:37:51
2016-12-04 16:25:15,1,805447888943910914,"Liebe Freunde!

Ich danke Euch. Ihr habt mich so großartig unterstützt und ich bin unendlich traurig, dass es... https://t.co/JEY9zD5iI3","{'user_mentions': [], 'urls': [{'indices': [113, 136], 'display_url': 'fb.me/6E4UA3s0o', 'expanded_url': 'http://fb.me/6E4UA3s0o', 'url': 'https://t.co/JEY9zD5iI3'}], 'symbols': [], 'hashtags': []}",271,128,11636,304,2016-12-04 16:25:15
2016-12-04 13:19:08,2,805401047506288641,Ich habe meine Stimme heute früh in Pinkafeld abgegeben. Jetzt warten wir gespannt auf das Ergebnis. Bitte helft... https://t.co/nZwrGDNM5A,"{'user_mentions': [], 'urls': [{'indices': [116, 139], 'display_url': 'fb.me/6bZNvYfKp', 'expanded_url': 'http://fb.me/6bZNvYfKp', 'url': 'https://t.co/nZwrGDNM5A'}], 'symbols': [], 'hashtags': []}",137,50,11636,304,2016-12-04 13:19:08
2016-12-04 12:35:54,3,805390169864097793,"Liebe Freunde!
Bitte geht unbedingt wählen und erinnert auch eure Verwandten, Freunde und Bekannten daran, von... https://t.co/jZyFLXHmg5","{'user_mentions': [], 'urls': [{'indices': [114, 137], 'display_url': 'fb.me/635LMA2Mk', 'expanded_url': 'http://fb.me/635LMA2Mk', 'url': 'https://t.co/jZyFLXHmg5'}], 'symbols': [], 'hashtags': []}",103,35,11636,304,2016-12-04 12:35:54
2016-12-04 08:39:06,4,805330578232983552,"Ich wünsche Ihnen allen einen schönen 2. Adventsonntag im Kreise Ihrer Familie und Freunde!

Ihr Norbert Hofer https://t.co/st0u1oBeoy","{'user_mentions': [], 'urls': [{'indices': [111, 134], 'display_url': 'fb.me/1BtwT0RjW', 'expanded_url': 'http://fb.me/1BtwT0RjW', 'url': 'https://t.co/st0u1oBeoy'}], 'symbols': [], 'hashtags': []}",222,83,11636,304,2016-12-04 08:39:06
2016-12-04 05:00:05,5,805275460972249088,"Liebe Österreicherinnen und Österreicher!

Glauben wir an unser Österreich und machen wir heute unser... https://t.co/dP6tCQm2aY","{'user_mentions': [], 'urls': [{'indices': [105, 128], 'display_url': 'fb.me/5TVWacLyw', 'expanded_url': 'http://fb.me/5TVWacLyw', 'url': 'https://t.co/dP6tCQm2aY'}], 'symbols': [], 'hashtags': []}",229,110,11636,304,2016-12-04 05:00:05
2016-12-03 13:12:08,6,805036901594001408,"Liebe Freunde!

An meine über zehn Monate andauernde Wahlreise habe ich unzählige wunderschöne Erinnerungen. Ich... https://t.co/X2Hcn8u52b","{'user_mentions': [], 'urls': [{'indices': [116, 139], 'display_url': 'fb.me/6Bp4quI20', 'expanded_url': 'http://fb.me/6Bp4quI20', 'url': 'https://t.co/X2Hcn8u52b'}], 'symbols': [], 'hashtags': []}",118,43,11636,304,2016-12-03 13:12:08
2016-12-03 11:00:05,7,805003668193939457,Der morgige Sonntag ist einer der wichtigsten Tage für unser rot-weiß-rotes Österreich. Damit wir es gemeinsam... https://t.co/pqpCzCmNnJ,"{'user_mentions': [], 'urls': [{'indices': [114, 137], 'display_url': 'fb.me/5Ci64Y1Da', 'expanded_url': 'http://fb.me/5Ci64Y1Da', 'url': 'https://t.co/pqpCzCmNnJ'}], 'symbols': [], 'hashtags': []}",198,95,11636,304,2016-12-03 11:00:05
2016-12-03 09:48:06,8,804985554181980160,"Liebe Österreicherinnen und Österreicher!
Liebe Freunde!

Der Tag der großen Entscheidung steht bevor und ich... https://t.co/YvsKP58wGN","{'user_mentions': [], 'urls': [{'indices': [113, 136], 'display_url': 'fb.me/WMy4fnvk', 'expanded_url': 'http://fb.me/WMy4fnvk', 'url': 'https://t.co/YvsKP58wGN'}], 'symbols': [], 'hashtags': []}",174,95,11636,304,2016-12-03 09:48:06
2016-12-03 08:12:05,9,804961390939275264,"Heute ist der „Internationale Tag der Menschen mit Behinderung“.

Behinderung keine Krankheit. Aber Behinderte... https://t.co/QMAvJaOvdA","{'user_mentions': [], 'urls': [{'indices': [114, 137], 'display_url': 'fb.me/8c4GNB2a8', 'expanded_url': 'http://fb.me/8c4GNB2a8', 'url': 'https://t.co/QMAvJaOvdA'}], 'symbols': [], 'hashtags': []}",72,22,11636,304,2016-12-03 08:12:05
2016-12-03 06:30:10,10,804935742313132032,"Der 4. Dezember ist ein Lostag für unser Österreich. So wie wir selbst entscheiden, so wird unsere Zukunft sein.... https://t.co/Mns4qXrOOB","{'user_mentions': [], 'urls': [{'indices': [116, 139], 'display_url': 'fb.me/1wFaT1tHM', 'expanded_url': 'http://fb.me/1wFaT1tHM', 'url': 'https://t.co/Mns4qXrOOB'}], 'symbols': [], 'hashtags': []}",124,53,11636,304,2016-12-03 06:30:10
2016-12-02 17:22:06,11,804737418251354114,Ein paar Bilder von der heutigen Abschlussveranstaltung. Ich bin immer noch überwältigt von der großartigen... https://t.co/qKYJAIFIHO,"{'user_mentions': [], 'urls': [{'indices': [111, 134], 'display_url': 'fb.me/1tqLmqaAC', 'expanded_url': 'http://fb.me/1tqLmqaAC', 'url': 'https://t.co/qKYJAIFIHO'}], 'symbols': [], 'hashtags': []}",77,21,11636,304,2016-12-02 17:22:06
2016-12-02 17:10:08,12,804734407819071488,Bilder der heutigen Abschlussveranstaltung in der Wiener Börse. Ich bin nach diesem langen Wahlkampf überwältigt... https://t.co/916Jhj12ay,"{'user_mentions': [], 'urls': [{'indices': [116, 139], 'display_url': 'fb.me/4rxrWD3Jk', 'expanded_url': 'http://fb.me/4rxrWD3Jk', 'url': 'https://t.co/916Jhj12ay'}], 'symbols': [], 'hashtags': []}",59,12,11636,304,2016-12-02 17:10:08
2016-12-02 16:37:06,13,804726092342984704,"Hier ein weiterer Ausschnitt aus dem ORF III Porträt ""Tag der Entscheidung"" über meinen Wahlkampf: https://t.co/zEdNSzs93K","{'user_mentions': [], 'urls': [{'indices': [99, 122], 'display_url': 'fb.me/8j3xkZQJG', 'expanded_url': 'http://fb.me/8j3xkZQJG', 'url': 'https://t.co/zEdNSzs93K'}], 'symbols': [], 'hashtags': []}",47,11,11636,304,2016-12-02 16:37:06
2016-12-02 15:05:37,14,804703069724348416,Meine heutige Rede bei der Abschlussveranstaltung in Wien. Liebe Freunde! Es waren die unglaublichsten zehn... https://t.co/fyivLDqnSK,"{'user_mentions': [], 'urls': [{'indices': [111, 134], 'display_url': 'fb.me/5u2hXigFY', 'expanded_url': 'http://fb.me/5u2hXigFY', 'url': 'https://t.co/fyivLDqnSK'}], 'symbols': [], 'hashtags': []}",70,22,11636,304,2016-12-02 15:05:37
2016-12-02 14:31:52,15,804694578439815168,Jetzt live im „Krone Talk“: https://t.co/QBZpSyIrZ8,"{'user_mentions': [], 'urls': [{'indices': [28, 51], 'display_url': 'fb.me/8xxpkHOvA', 'expanded_url': 'http://fb.me/8xxpkHOvA', 'url': 'https://t.co/QBZpSyIrZ8'}], 'symbols': [], 'hashtags': []}",40,7,11636,304,2016-12-02 14:31:52
2016-12-02 13:05:16,16,804672784165126144,"Liebe Österreicherinnen und Österreicher!

Seien wir uns alle bewusst, dass der 4. Dezember eine absolute... https://t.co/GBeY6JiKGE","{'user_mentions': [], 'urls': [{'indices': [109, 132], 'display_url': 'fb.me/ujezhiMb', 'expanded_url': 'http://fb.me/ujezhiMb', 'url': 'https://t.co/GBeY6JiKGE'}], 'symbols': [], 'hashtags': []}",85,35,11636,304,2016-12-02 13:05:16
2016-12-02 09:33:20,17,804619450980900864,Schlussveranstaltung der Bundespräsidentenwahl https://t.co/ElyiMLpGrl,"{'user_mentions': [], 'urls': [{'indices': [47, 70], 'display_url': 'fb.me/2ObB5uFhu', 'expanded_url': 'http://fb.me/2ObB5uFhu', 'url': 'https://t.co/ElyiMLpGrl'}], 'symbols': [], 'hashtags': []}",42,11,11636,304,2016-12-02 09:33:20
2016-12-02 09:22:36,18,804616750096613376,Schlussveranstaltung der Bundespräsidentenwahl https://t.co/1hKCRD9XRH,"{'user_mentions': [], 'urls': [{'indices': [47, 70], 'display_url': 'fb.me/61MyLD7UX', 'expanded_url': 'http://fb.me/61MyLD7UX', 'url': 'https://t.co/1hKCRD9XRH'}], 'symbols': [], 'hashtags': []}",37,8,11636,304,2016-12-02 09:22:36
2016-12-02 08:00:05,19,804595984290430976,In Kürze beginnt unsere Schlussveranstaltung zur Bundespräsidentenwahl. Die Veranstaltung wird ab 10:30 Uhr hier... https://t.co/VwWZf1PE7P,"{'user_mentions': [], 'urls': [{'indices': [116, 139], 'display_url': 'fb.me/vitsXuq5', 'expanded_url': 'http://fb.me/vitsXuq5', 'url': 'https://t.co/VwWZf1PE7P'}], 'symbols': [], 'hashtags': []}",71,22,11636,304,2016-12-02 08:00:05
2016-12-02 08:00:02,20,804595970776432641,:-) https://t.co/KZJyCS2sJF,"{'user_mentions': [], 'urls': [{'indices': [4, 27], 'display_url': 'fb.me/1H19rmgdr', 'expanded_url': 'http://fb.me/1H19rmgdr', 'url': 'https://t.co/KZJyCS2sJF'}], 'symbols': [], 'hashtags': []}",44,12,11636,304,2016-12-02 08:00:02
